GALAXYSURF,33,15,6,6,4
MASTEK,62,43,29,17,9
GALLISPAT,46,32,24,17,13
GANDHITUBE,40,21,13,9,6
GANECOS,37,23,14,10,8
GANESHBE,14,9,8,3,3
MAXVIL,62,49,31,18,13
GANGAFORGE,29,16,4,0,0
GOKULAGRO,62,51,43,21,14
GARFIBRES,31,16,9,6,2
PURVA,62,44,29,18,13
RGL,62,33,17,7,7
RSWM,62,47,30,15,12
GEEKAYWIRE,27,19,15,12,7
GENCON,38,27,15,8,5
SECURKLOUD,62,48,38,14,12
GENUSPAPER,42,28,18,10,9
SWSOLAR,62,41,29,22,12
GEOJITFSL,43,31,25,18,13
GEPIL,37,20,13,7,3
GESHIP,38,21,11,8,6
GET&D,43,26,13,8,6
GFLLIMITED,45,29,16,10,6
GFSTEELS,44,28,21,0,0
ADANIENT,61,35,27,17,11
GICHSGFIN,44,26,12,7,5
GICRE,33,19,15,8,5
AMBIKCO,61,39,25,17,8
GILLETTE,7,1,0,0,0
BESTAGRO,61,46,35,16,10
GIPCL,31,17,8,3,0
GISOLUTION,44,38,19,0,0
GKWLIMITED,31,16,13,11,8
GLAXO,20,7,6,2,1
GLENMARK,37,14,8,4,2
GLOBAL,47,23,17,5,3
GLOBALVECT,42,34,23,14,10
GLOBE,22,14,8,3,3
GLOBUSSPR,41,29,21,8,5
GLS,7,6,1,0,0
GMBREW,38,22,18,11,8
BINDALAGRO,61,47,36,27,20
GMMPFAUDLR,39,15,9,6,4
GMRINFRA,47,28,20,12,9
DELTACORP,61,45,25,16,10
DENORA,61,42,26,20,17
DHAMPURSUG,61,35,24,10,9
SEPOWER,61,60,51,0,0
GOCOLORS,6,5,2,2,2
GODFRYPHLP,25,10,8,6,4
GODHA,25,21,15,6,5
GODREJAGRO,24,10,7,4,1
GODREJCP,29,10,5,1,1
GODREJIND,25,17,8,5,3
GODREJPROP,47,26,12,5,4
FILATEX,61,45,31,21,13
FSL,61,36,22,13,8
HITECHCORP,61,45,29,16,14
INDIANB,61,41,25,12,8
JINDALSTEL,61,38,19,8,4
GOLDTECH,46,37,31,8,8
JSL,61,41,24,14,12
GOODYEAR,22,9,5,2,0
JSLHISAR,61,41,24,14,12
GPPL,34,19,10,6,3
RANASUG,61,54,47,20,17
GRANULES,43,23,14,6,4
NRAIL,61,36,20,14,5
GRASIM,29,14,5,4,2
GRAUWEIL,17,11,7,4,1
OMINFRAL,61,45,29,14,10
PALASHSECU,61,45,33,14,11
GREENLAM,46,22,15,10,8
DSSL,61,50,39,26,22
PIONEEREMB,61,43,27,19,13
GREENPOWER,48,45,36,9,9
JSWISPL,61,50,46,2,2
GRINFRA,13,10,5,4,3
PATSPINLTD,61,50,36,3,3
GRPLTD,37,22,12,9,8
GRSE,39,25,11,9,7
GSCLCEMENT,44,26,15,11,7
SHIVATEX,61,47,38,25,18
GSPL,46,20,12,8,4
SOUTHWEST,61,43,30,12,8
TANLA,61,48,44,0,0
VIKASECO,61,43,31,10,10
AGROPHOS,60,39,32,17,16
AHLADA,60,41,31,11,11
GUFICBIO,48,34,26,22,15
CENTEXT,60,47,36,28,23
GUJAPOLLO,28,19,13,7,6
GUJGASLTD,43,24,14,6,4
GULFOILLUB,18,7,2,0,0
GULFPETRO,45,33,25,14,9
GULPOLY,37,28,21,11,10
HAL,37,22,8,5,3
DCAL,60,43,35,23,14
DCMFINSERV,60,44,26,2,2
HATHWAY,35,22,14,6,5
HATSUN,31,17,15,8,5
HAVELLS,37,16,6,4,2
DCMNVL,60,51,40,0,0
DCMSHRIRAM,60,37,24,17,12
GROBTEA,60,41,31,15,8
HCG,47,27,17,12,6
HARRMALAYA,60,40,24,16,9
HCLTECH,29,10,2,1,0
HDFC,28,9,2,1,1
HDFCAMC,13,6,4,1,1
HDFCBANK,22,6,5,2,0
HDFCLIFE,17,3,1,1,0
HEG,48,36,28,24,19
HEIDELBERG,22,4,1,0,0
HEMIPROP,40,28,19,12,7
HERANBA,29,18,15,9,5
HERCULES,47,20,14,9,2
HERITGFOOD,45,32,20,14,9
HEROMOTOCO,16,6,1,0,0
HESTERBIO,35,21,14,10,7
HSIL,60,45,33,23,17
IBULHSGFIN,60,41,22,14,10
IGPL,60,40,25,17,11
HGS,31,22,16,10,9
IMFA,60,44,30,23,18
JAIBALAJI,60,45,29,4,3
JINDWORLD,60,39,32,26,20
JKPAPER,60,41,28,17,11
JUBLINDS,60,45,39,21,16
HINDCOMPOS,31,24,16,12,10
HINDCON,36,30,26,3,3
KIRLFER,60,39,22,13,5
HINDMOTORS,37,30,27,16,13
HINDNATGLS,34,25,15,8,6
KRIDHANINF,60,50,41,17,15
HINDPETRO,40,14,6,2,1
HINDUNILVR,13,4,2,1,0
HINDZINC,34,21,17,8,5
HIRECT,49,34,22,19,14
LCCINFOTEC,60,44,27,6,4
HITECH,48,35,22,15,9
MADHUCON,60,48,39,13,13
MMTC,60,40,34,28,20
RAIN,60,40,25,18,10
HLVLTD,49,36,24,18,16
HMVL,41,24,17,11,9
HNDFDS,34,25,22,6,6
HONAUT,33,13,6,1,0
HONDAPOWER,24,14,8,7,5
HOTELRUGBY,41,38,18,2,0
SANGHIIND,60,32,27,15,9
SUNTECK,60,27,15,9,6
HSCL,44,30,19,12,7
THOMASCOOK,60,41,28,7,6
HTMEDIA,49,33,26,19,13
TMRVL,60,43,35,6,6
HUDCO,32,20,14,8,7
HUHTAMAKI,24,11,6,3,1
USHAMART,60,40,29,22,15
VIDHIING,60,47,31,24,20
ICEMAKE,42,24,18,8,5
ICICIBANK,31,15,3,2,2
ICICIGI,26,9,4,1,0
ICICIPRULI,31,17,6,3,0
ICIL,3,0,0,0,0
ICRA,29,16,9,5,5
IDBI,48,30,24,21,14
ADORWELD,59,38,23,16,12
AUBANK,59,28,16,7,3
AVADHSUGAR,59,40,30,20,13
BAJAJHIND,59,48,38,11,10
IFBAGRO,47,30,15,11,6
IFBIND,38,25,15,10,7
BALRAMCHIN,59,39,23,17,12
IFGLEXPOR,49,28,20,14,9
IGARASHI,49,27,21,12,8
IGL,29,14,7,0,0
BANKA,59,48,37,13,10
BHEL,59,44,31,17,9
BLKASHYAP,59,46,37,16,14
IIFLWAM,45,24,17,9,5
IITL,43,31,18,6,6
IMAGICAA,35,32,27,10,10
COMPINFO,59,45,36,27,17
IMPAL,26,9,5,4,4
IMPEXFERRO,12,12,12,10,4
INCREDIBLE,33,28,20,13,11
DALMIASUG,59,41,30,19,14
EASTSILK,59,54,40,6,5
INDIACEM,43,21,12,9,7
FAIRCHEMOR,59,35,30,14,8
INDIAMART,41,22,17,14,8
GAYAPROJ,59,43,32,22,16
INDIANCARD,42,28,16,13,8
INDIANHUME,37,24,13,9,7
INDIGO,32,16,12,6,3
INDIGOPNTS,19,11,6,5,2
GREENPANEL,59,44,32,3,2
INDNIPPON,40,20,13,7,2
INDOCO,42,25,13,8,5
INDORAMA,37,28,25,14,14
INDOSTAR,31,14,11,10,7
IDEA,59,43,34,27,19
INSPIRISYS,59,47,36,14,10
JBMA,59,45,37,27,17
INDRAMEDCO,43,32,19,13,11
LGBFORGE,59,54,50,7,6
INDSWFTLTD,34,31,28,3,3
KCPSUGIND,59,47,36,18,13
INDUSINDBK,35,19,11,7,5
INDUSTOWER,46,19,11,7,3
INEOSSTYRO,49,28,17,8,4
INFIBEAM,40,23,19,12,11
INFOBEAN,35,26,20,12,10
INFY,17,5,2,0,0
INGERRAND,33,24,14,12,11
INOXLEISUR,42,21,16,12,4
KARMAENG,59,50,41,8,8
INSECTICID,39,22,14,6,3
MUKTAARTS,59,35,26,8,8
INTEGRA,16,10,1,0,0
NOCIL,59,36,25,11,4
NORBTEAEXP,59,47,42,17,13
INTLCONV,12,3,1,1,1
RELIGARE,59,40,29,22,16
IOB,42,33,29,22,19
IOC,34,12,5,0,0
IOLCP,36,22,13,8,4
IPCALAB,27,12,5,2,1
IPL,15,9,6,3,2
IRCON,26,11,8,7,5
RSSOFTWARE,59,47,38,19,17
IRFC,15,9,6,2,2
IRIS,10,9,6,2,1
IRISDOREME,32,27,21,13,11
ISEC,49,26,12,5,2
SOMATEX,59,50,45,12,12
ISGEC,30,20,10,8,5
TDPOWERSYS,59,42,30,19,15
ITC,18,9,5,3,1
ITDC,35,22,16,8,4
ITDCEM,49,32,21,16,9
ITI,34,15,9,4,1
TRIGYN,59,45,37,22,20
IVP,49,35,27,8,7
IWEL,14,13,12,3,3
VEDL,59,27,18,11,7
J&KBANK,49,36,24,14,9
VIPULLTD,59,48,34,9,7
20MICRONS,58,32,19,9,7
AGARIND,58,46,37,12,10
ANDHRSUGAR,58,36,24,12,6
JAIPURKURT,26,23,19,3,3
JAMNAAUTO,41,26,17,9,6
AUTOIND,58,44,40,2,2
BSE,58,32,24,19,13
JAYBARMARU,40,21,15,11,10
JAYNECOIND,46,45,42,0,0
JAYSREETEA,41,30,18,10,8
JBCHEPHARM,36,22,15,5,3
JBFIND,38,34,27,3,3
CYBERTECH,58,43,34,21,15
JCHAC,24,10,4,2,0
JETFREIGHT,4,4,4,0,0
JHS,47,34,24,10,9
DBSTOCKBRO,58,44,38,18,16
EVERESTIND,58,37,19,11,4
JINDALSAW,48,35,21,17,9
ROLLT,58,55,23,7,6
HINDALCO,58,38,22,12,5
INDTERRAIN,58,48,36,23,18
JISLDVREQS,38,34,29,4,4
KHADIM,58,40,28,17,13
JKCEMENT,46,24,13,6,3
JKIL,49,30,17,11,7
JKLAKSHMI,44,24,15,10,4
